xmin,ymin,xmax,ymax,confidence,class,name,Tmp
158.0601348876953,706.6204223632812,235.3942413330078,904.0073852539062,0.8162883520126343,6,Lon Export,4
265.50750732421875,768.5986328125,321.0777587890625,900.2808837890625,0.9249600172042847,12,Lon Soda,4
355.25494384765625,767.878173828125,408.88885498046875,903.512939453125,0.926035463809967,12,Lon Soda,4
411.62127685546875,775.399169921875,462.6053466796875,908.7877197265625,0.9240844249725342,10,Lon Xa xi,4
467.65960693359375,772.3070068359375,515.0841064453125,911.816650390625,0.930992603302002,10,Lon Xa xi,4
515.8202514648438,772.5347900390625,566.0733032226562,910.4222412109375,0.9283744096755981,4,Lon Chill,4
564.2728881835938,776.6361083984375,616.8489379882812,909.2410888671875,0.9344621896743774,4,Lon Chill,4
131.99606323242188,539.55517578125,205.35971069335938,644.4609375,0.9057504534721375,0,Lon Lager,3
195.8841094970703,427.7530212402344,267.38726806640625,650.8338623046875,0.910524845123291,7,Chai Chill,3
257.7524108886719,450.23321533203125,315.2636413574219,647.6859741210938,0.9050107598304749,11,Chai Xa xi,3
313.6437072753906,437.48236083984375,371.4527282714844,650.6991577148438,0.9301877021789551,1,Chai Export,3
369.7073669433594,435.638916015625,429.7226257324219,654.1845703125,0.9289765357971191,1,Chai Export,3
431.6911315917969,435.43609619140625,492.8844909667969,654.3075561523438,0.9423456788063049,2,Chai Larger,3
492.69976806640625,455.4903564453125,545.4440307617188,652.103759765625,0.928557276725769,11,Chai Xa xi,3
543.2236328125,437.0625,611.140869140625,656.077392578125,0.9176306128501892,2,Chai Larger,3
610.6901245117188,430.13067626953125,676.1655883789062,656.3810424804688,0.9049901962280273,7,Chai Chill,3
695.001708984375,425.4158020019531,774.0623779296875,661.9765625,0.8699996471405029,7,Chai Chill,3
126.52015686035156,428.89141845703125,200.70191955566406,542.0974731445312,0.9070954918861389,0,Lon Lager,2
124.89828491210938,235.8054656982422,198.83810424804688,353.90203857421875,0.9076617956161499,0,Lon Lager,1
212.0481414794922,237.40625,285.2161865234375,356.6217041015625,0.9109283089637756,5,Lon 333,1
391.2303466796875,208.43540954589844,448.48345947265625,361.64251708984375,0.9142338037490845,8,Lon Gold,1
451.3692626953125,212.89414978027344,507.0693359375,365.67474365234375,0.7956557273864746,8,Lon Gold,1
509.1214599609375,212.71640014648438,562.9599609375,364.1382141113281,0.9405689835548401,3,Lon Special,1
559.4191284179688,213.08941650390625,615.8666381835938,364.9788818359375,0.9428394436836243,3,Lon Special,1
619.16455078125,242.9029083251953,684.5701904296875,362.9573669433594,0.9181064367294312,9,Lon Lac Viet,1
731.2791137695312,247.65975952148438,804.9457397460938,368.6593933105469,0.9018274545669556,4,Lon Chill,1
112.82137298583984,111.218994140625,194.34951782226562,235.97628784179688,0.9167401790618896,0,Lon Lager,0
207.6168212890625,114.24923706054688,279.4769592285156,237.63983154296875,0.9131943583488464,5,Lon 333,0
619.9420776367188,118.43399047851562,692.0077514648438,244.18209838867188,0.913428544998169,9,Lon Lac Viet,0
